Address,Symbol Name,Matching
0000007100000024,_init,false
0000007100000160,_fini,false
0000007100000194,sub_7100000194,false
000000710000019C,sub_710000019C,false
00000071000001A4,sub_71000001A4,false
00000071000001AC,__nnDetailNintendoSdkRuntimeObjectFileRefer,false
00000071000001B0,__nnDetailNintendoSdkRuntimeObjectFile,false
00000071000001B4,__nnDetailNintendoSdkNsoFileRefer,false
00000071000001B8,_ZN17AmiiboNpcDirectorC2Ev,false
000000710000030C,_ZN17AmiiboNpcDirector4initEP18ProjectNfpDirectorPN2al13AudioDirectorE,false
00000071000003D0,_ZN17AmiiboNpcDirector26initAfterPlacementSceneObjERKN2al13ActorInitInfoE,false
00000071000005EC,_ZN17AmiiboNpcDirector22updateSearchAmiiboNameEv,false
000000710000079C,_ZN17AmiiboNpcDirector25requestAppearAmiiboLayoutEv,false
00000071000007E0,_ZN17AmiiboNpcDirector25requestDecideAmiiboLayoutEv,false
00000071000007E8,_ZN17AmiiboNpcDirector22requestEndAmiiboLayoutEv,false
00000071000007F0,_ZN17AmiiboNpcDirector17isEndAmiiboLayoutEv,false
00000071000007F8,_ZN17AmiiboNpcDirector20registerSearchAmiiboEiim,false
00000071000008A4,_ZN17AmiiboNpcDirector21deleteSearchEndAmiiboEv,false
000000710000098C,_ZN17AmiiboNpcDirector14isSearchAmiiboEi,false
00000071000009FC,_ZNK17AmiiboNpcDirector18getSearchAmiiboNumEv,false
0000007100000A84,_ZNK17AmiiboNpcDirector21getSearchEndAmiiboNumEv,false
0000007100000B0C,_ZNK17AmiiboNpcDirector29getSearchEndAmiiboNumRealTimeEv,false
0000007100000BB0,_ZN17AmiiboNpcDirector20isEnableSearchAmiiboEv,false
0000007100000C10,_ZN17AmiiboNpcDirector18setTouchAmiiboNameEii,false
0000007100000D48,_ZN17AmiiboNpcDirector23trySetAmiiboCostumeNameEi,false
0000007100000E00,_ZN17AmiiboNpcDirector26checkTimeReverseAndRestoreEv,false
0000007100000E88,_ZN17AmiiboNpcDirector25tryGetTriggerTouchNfpInfoEv,false
0000007100000F00,_ZN14AmiiboFunction25tryGetTriggerTouchNfpInfoEPKN2al18IUseSceneObjHolderE,false
0000007100000F80,_ZN14AmiiboFunction26getLastTriggerTouchNfpInfoEPKN2al18IUseSceneObjHolderE,false
0000007100000F9C,_ZN14AmiiboFunction13startNfpTouchEPKN2al18IUseSceneObjHolderE,false
0000007100000FB8,_ZN14AmiiboFunction12stopNfpTouchEPKN2al18IUseSceneObjHolderE,false
0000007100000FD4,_ZN14AmiiboFunction17isNfpErrorHandledEPKN2al18IUseSceneObjHolderE,false
0000007100000FF4,_ZN14AmiiboFunction25requestAppearAmiiboLayoutEPKN2al18IUseSceneObjHolderE,false
0000007100001040,_ZN14AmiiboFunction25requestDecideAmiiboLayoutEPKN2al18IUseSceneObjHolderE,false
000000710000105C,_ZN14AmiiboFunction22requestEndAmiiboLayoutEPKN2al18IUseSceneObjHolderE,false
0000007100001078,_ZN14AmiiboFunction17isEndAmiiboLayoutEPKN2al18IUseSceneObjHolderE,false
0000007100001094,_ZN14AmiiboFunction20getAmiiboTouchLayoutEPKN2al18IUseSceneObjHolderE,false
00000071000010B0,_ZN14AmiiboFunction18getSearchAmiiboNumEPKN2al18IUseSceneObjHolderE,false
